date,time,open,high,low,close,volume
20181114,0,44500,44500,43800,44100,6783344
20181115,0,44050,44350,43500,44250,5864067
20181116,0,44600,44750,43700,44000,7777124
20181119,0,44050,44250,43450,43650,7538720
20181120,0,42450,43000,42100,42800,9420664
20181121,0,41800,42300,41800,42100,10769589
20181122,0,42000,42650,42000,42450,5970796
20181123,0,42450,42600,41900,42400,5192638
20181126,0,42150,42800,42100,42600,6613009
20181127,0,42900,43100,42500,43050,8367091
20181128,0,42800,43200,42750,43150,6943099
20181129,0,43850,43850,42900,43150,8473511
20181130,0,43450,44000,41750,41850,19775519
20181203,0,42750,43400,42400,43250,12110702
20181204,0,42650,42900,41900,42150,14347746
20181205,0,40900,41750,40850,41450,12631983
20181206,0,40600,41100,40450,40500,14251826
20181207,0,40900,41400,40850,40950,11433083
20181210,0,40450,40650,40000,40200,14892263
20181211,0,40600,40700,40200,40250,10638766
20181212,0,40250,40700,40150,40450,12024279
20181213,0,40650,40750,40000,40000,26254646
20181214,0,40200,40200,38700,38950,19671783
20181217,0,38650,39600,38650,39150,11532968
20181218,0,38300,39200,38300,38900,11042101
20181219,0,38900,39350,38850,39100,9942037
20181220,0,38600,39100,38500,38650,11937617
20181221,0,38200,38650,38100,38650,14947080
20181224,0,38500,39050,38300,38800,9729530
20181226,0,38400,38750,38300,38350,12707675
20181227,0,38700,38800,38100,38250,10510643
20181228,0,38250,38900,38200,38700,9900267
20190102,0,39400,39400,38550,38750,7847664
20190103,0,38300,38550,37450,37600,12471493
20190104,0,37450,37600,36850,37450,14108958
20190107,0,38000,38900,37800,38750,12748997
20190108,0,38000,39200,37950,38100,12756554
20190109,0,38650,39600,38300,39600,17452708
20190110,0,40000,40150,39600,39800,14731699
20190111,0,40350,40550,39950,40500,11661063
20190114,0,40450,40700,39850,40050,11984996
20190115,0,40050,41100,39850,41100,11492756
20190116,0,41150,41450,40700,41450,8491595
20190117,0,41700,42100,41450,41950,11736903
20190118,0,42000,42400,41950,42300,11029256
20190121,0,42700,42750,41900,42750,11355701
20190122,0,42750,42850,41850,42150,9964356
20190123,0,41350,42250,41350,42000,11071079
20190124,0,43050,43100,42350,43050,14747623
20190125,0,44300,44750,43750,44750,22789395
20190128,0,45000,45500,44600,45050,17998914
20190129,0,45050,45500,44350,45500,16215017
20190130,0,44800,46400,44800,46400,17505980
20190131,0,46650,47050,46150,46150,21621145
20190201,0,46650,46950,46250,46350,13832454
20190207,0,46800,47100,46200,46200,15872001
